Company Name,Category,Sub-Category,Geography,Website,Products/Pipeline,Stage,Use Case,Priority,Notes
Direct Biologics,Pharmaceutical/Biotech,Inflammatory/Respiratory,USA,https://directbiologics.com,ExoFlo MSC-derived EVs,Clinical (Phase 3 ARDS),GMP MSC exosome supply; co-development,High,Late-stage clinical; systemic inflammatory indications
Aegle Therapeutics,Pharmaceutical/Biotech,Dermatology,USA,https://aegletherapeutics.com,AGLE-102 allogeneic BM-MSC EVs,Clinical (Phase 1/2),Clinical-grade MSC exosome manufacturing,High,FDA-cleared IND; rare skin disorders
Capricor Therapeutics,Pharmaceutical/Biotech,Cardiovascular/Immunology,USA,https://capricor.com,CAP-2003 CDC-derived exosomes,Clinical (Phase 1),MSC/CDC exosome production partnership,High,Cardiosphere-derived platform; vaccine programs
Aruna Bio,Pharmaceutical/Biotech,Neurology,USA,https://arunabio.com,Neural exosome therapeutics,Preclinical/Clinical,Neural MSC exosome sourcing,High,BBB-crossing exosome platform
Evox Therapeutics,Pharmaceutical/Biotech,Neurology/Gene Therapy,UK,https://evoxtherapeutics.com,ExoEdit engineered exosomes,Preclinical,MSC exosome raw material / CDMO,High,CNS delivery; CRISPR cargo loading
Codiak BioSciences,Pharmaceutical/Biotech,Oncology/Immunology,USA,https://codiakbio.com,engEx engineered exosome platform,Clinical,Manufacturing scale-up partnership,High,Industrial exosome engineering leader
Brexogen,Pharmaceutical/Biotech,Dermatology,South Korea,https://brexogen.com,BRE-AD01 MSC exosomes for atopic dermatitis,Clinical (Phase 1),MSC exosome supply for trials,High,First US exosome atopic dermatitis trial from Korea
Cells for Cells (C4C),Pharmaceutical/Biotech,Orthopedics,Chile,https://cellsforcells.com,XO-101 MSC exosome OA therapy,Clinical,MSC exosome manufacturing,High,First patient dosed with MSC exosome OA therapy
ConvEyXO,Pharmaceutical/Biotech,Inflammatory/Regenerative,Belgium,https://conveyxo.com,MSC-sEV miRNA-loaded therapeutics,Preclinical,MSC exosome scale manufacturing,High,3D bioreactor MSC exosome platform
EXO Biologics,Pharmaceutical/Biotech,Neonatal/Rare Disease,Belgium,https://exobiologics.com,EXOB-001 UC-MSC exosomes for BPD,Clinical (Phase 1/2),GMP MSC exosome supply,High,EMA-approved MSC exosome clinical trial
NurExone Biologic,Pharmaceutical/Biotech,Neurology/Regenerative,Canada,https://nurexone.com,ExoTherapy loaded MSC exosomes; Exo-Top naive MSC exosomes,Preclinical/Commercial prep,Naive MSC exosome supply; MCB partnership,High,Exo-Top commercial launch targeted 2027
Organicell Regenerative Medicine,Pharmaceutical/Biotech,Regenerative Medicine,USA,https://organicell.com,Zofin MSC-derived nanovesicles,Clinical/Commercial,MSC exosome raw material,High,Perinatal tissue MSC exosome products
Rion,Pharmaceutical/Biotech,Wound/Dermatology/MSK,USA,https://riontx.com,PEP platelet-derived exosomes,Clinical (IND cleared),MSC exosome comparison/supply,Medium,Platelet exosomes; Mayo Clinic spinout
Kimera Labs,Pharmaceutical/Biotech,Regenerative/Anti-inflammatory,USA,https://kimeralabs.com,Clinical-grade MSC exosomes,Commercial/Clinical supply,MSC exosome manufacturing partnership,High,Pioneer in MSC exosome commercial manufacture
Anova IRM,Pharmaceutical/Biotech,Regenerative Medicine,Germany,https://anova-irm.com,Stem cell and exosome therapies,Clinical,MSC exosome supply for EU clinics,Medium,EU regenerative medicine network
BrainStorm Cell Therapeutics,Pharmaceutical/Biotech,Neurology,Israel/USA,https://brainstorm-cell.com,MSC-NTF exosome programs,Clinical,MSC exosome manufacturing,Medium,Neurodegenerative focus
Creative Medical Technology Holdings,Pharmaceutical/Biotech,Neurology/Urology/Ortho,USA,https://creativemedicaltechnology.com,AmnioStem exosome production,Commercial/Clinical,MSC exosome production tool supply,Medium,Amniotic MSC platform
Novadip Biosciences,Pharmaceutical/Biotech,Bone/Regenerative,Belgium,https://novadip.com,3D tissue + exosome programs,Clinical,MSC exosome supply,Medium,Bone regeneration focus
Stem Cell Medicine,Pharmaceutical/Biotech,Regenerative,Israel,https://stemcell-medicine.com,MSC exosome therapeutics,Preclinical/Clinical,MSC exosome manufacturing,Medium,Israeli regenerative biotech
EverZom,Pharmaceutical/Biotech,Multi-indication,France,https://everzom.com,GMP EV manufacturing; Crohn's/liver/derm,Preclinical/CDMO,MSC exosome CDMO partnership,High,100x yield turbulence stimulation platform
Primoris Therapeutics,Pharmaceutical/Biotech,Regenerative,South Korea,https://primoristx.com,Kangstem-derived MSC exosomes,Preclinical,MSC exosome supply,Medium,Korean MSC exosome therapeutics
ExoCan,Pharmaceutical/Biotech,Oncology,India,https://exocan.com,Exosome liquid biopsy and delivery,Preclinical,MSC exosome research supply,Low,Oncology-focused; India market
ExoPlus,Pharmaceutical/Biotech,Regenerative,South Korea,https://exoplus.co.kr,ExoThera regenerative platform,Preclinical,MSC exosome supply,Medium,Irreversible disease focus
Exostemtech,Pharmaceutical/Biotech,Orthopedics/Liver,South Korea,https://exostemtech.com,EST-P-EXO1 OA; liver fibrosis exosomes,Preclinical,MSC exosome manufacturing,High,OA and liver fibrosis MSC exosome programs
GBI Bio,Pharmaceutical/Biotech,Regenerative,USA,https://gbibio.com,MSC exosome therapies (stealth),Preclinical,MSC exosome supply,Medium,Florida-based; diverse regenerative pipeline
ILIAS Biologics,Pharmaceutical/Biotech,Immunology,South Korea,https://iliasbio.com,ILB-202 engineered exosomes,Clinical,MSC exosome benchmarking/supply,Medium,Engineered HEK293 exosomes; anti-inflammatory
ReNeuron,Pharmaceutical/Biotech,Neurology/Ophthalmology,UK,https://reneuron.com,Exosome therapeutic programs,Preclinical,MSC exosome supply,Medium,Cell therapy company expanding to exosomes
Anagenesis Biotechnologies,Pharmaceutical/Biotech,Muscle/Regenerative,France,https://anagenesis-biotech.com,MSC exosome muscle regeneration,Preclinical,MSC exosome supply,Medium,Muscular dystrophy focus
Regeneus,Pharmaceutical/Biotech,Orthopedics/Oncology,Australia,https://regeneus.com.au,Progenza MSC cell therapy + exosomes,Clinical,MSC exosome supply,Medium,Australian MSC platform
